supplement,aspire,no_thanks,protein_purpose,protein_when,protein_where,protein_role,wow,quantity_at_fraction,price_at_delta_quantity,wtp,quantity,gender,age,income
No,Yes,,"I am a busy professional and ""on-the-go person"".","Multiple times throughout the day, depending on my schedule.",At home;The car;The office/ at work;In a meeting;,It fills me up,8,5,1,3,1,Female,18-24 years old,"Under $25,000"
Yes,,,I've made recent changes to my diet and nutrition.,Early in the morning to start my day,At home;,just to help me be healthier ,5,5,2,2,2,Female,18-24 years old,"Under $25,000"
No,No,,,,,,,,,,,,,
No,No,,,,,,,,,,,,,
No,Yes,,I've made recent changes to my diet and nutrition.,"Multiple times throughout the day, depending on my schedule.",The office/ at work;At home;,Help me to feel satiated throughout the day,2,1,4,4,1,Female,18-24 years old,Prefer not to say
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",At home;,build muscle,5,4,0.5,1.5,1,Male,18-24 years old,"$25,000-$49,999"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",The office/ at work;,helping me build muscle ,5,30,2,3.5,5,Female,18-24 years old,"$100,000-$149,999"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",The gym;At home;The car;The office/ at work;In a meeting;Everywhere I go;,Primarily for building muscle.,8,30,1,2.5,7,Male,35-44 years old,"$150,000-$199,999"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",At home;The office/ at work;Everywhere I go;,"Build muscle, repair tissue after workouts, keep me satiated throughout the day",7,1,2,3,1,Female,18-24 years old,"Under $25,000"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),Early in the morning to start my day,At home;The car;,Breakfast and yummy,2,3,0,0,3,Male,18-24 years old,"$75,000-$99,999"
Yes,,,"I am a busy professional and ""on-the-go person"".",Lunch time,At home;,To become stronger and maintain muscle mass. ,7,7,1,1,7,Male,18-24 years old,"$25,000-$49,999"
No,No,,,,,,,,,,,,,
Yes,,,"I am a busy professional and ""on-the-go person"".",Early in the morning to start my day,At home;The car;,Mostly to reach my protein goal for the day and supplement my working out. ,9,7,2,5,2,Male,18-24 years old,"$25,000-$49,999"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),Early in the morning to start my day,The car;At home;,Necessary for life.,4,0,0,0,0,Male,18-24 years old,"$50,000-$74,999"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),Early in the morning to start my day,At home;,Help me get huge.,2,1,2,2.5,1,Male,18-24 years old,"Under $25,000"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",At home;The car;,"Helps me to maintain a healthy weight, feel my best, and build muscle",8,6,1.75,2.5,3,Male,18-24 years old,"Under $25,000"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",The office/ at work;Everywhere I go;At home;The car;,Maintain and grow muscles. Healthy living,6,1,2,2,1,Male,18-24 years old,"Under $25,000"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),Early in the morning to start my day,At home;,Fill in missed calories from small meals throughout the day.,6,35,0.1,2.5,1,Male,18-24 years old,"Under $25,000"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),Early in the morning to start my day,At home;,To have a good source of energy and muscle building.,5,2,1,2,2,Female,18-24 years old,"Under $25,000"
Yes,,,"I am a busy professional and ""on-the-go person"".",At night before bed.,At home;The office/ at work;,,7,4,0.1,1,1,Male,25-34 years old,"$75,000-$99,999"
Yes,,,"I am a busy professional and ""on-the-go person"".",Early in the morning to start my day,At home;,Help me stay fit and build muscle,4,1,0.5,0.5,1,Male,18-24 years old,"$50,000-$74,999"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",At home;Everywhere I go;,It's important for my body. ,6,3,1,2.5,1,Male,18-24 years old,"Under $25,000"
No,Yes,,"I am a busy professional and ""on-the-go person"".","Multiple times throughout the day, depending on my schedule.",At home;The office/ at work;Everywhere I go;,It is one of my top three essential macros,5,5,0.01,2,2,Male,25-34 years old,"Under $25,000"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",The car;At home;The office/ at work;Everywhere I go;,"I try to eat 130 grams of protein every day, so that I can retain muscle strength and get rid of unhealthy weight.",6,3,2.5,2.5,3,Female,18-24 years old,"Under $25,000"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",At home;,Build muscle,4,5,2,4,2,Male,18-24 years old,"$50,000-$74,999"
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),Early in the morning to start my day,The car;At home;,Needed to get stronger,10,7,1,3,3,Male,18-24 years old,Prefer not to say
Yes,,,I'm a fitness and health enthusiast (Whether it's going to the gym or bodybuilding or yoga. I'm about it.),"Multiple times throughout the day, depending on my schedule.",At home;,Gain muscle,6,7,0,1,7,Male,18-24 years old,"$25,000-$49,999"